iso_code,country,2022_last_updated,2020_population,density_sq_km,growth_rate,world_%,rank
SGP,Singapore,"5,984,903","5,909,869","8,416/sq_km",0.0058,0.07%,113
DNK,Denmark,"5,888,939","5,825,641",136/sq_km,0.0048,0.07%,115
SVK,Slovakia,"5,737,880","5,456,681",115/sq_km,0.0359,0.07%,116
CAF,Central African Republic,"5,615,664","5,343,020",9/sq_km,0.0224,0.07%,117
FIN,Finland,"5,541,844","5,529,468",16/sq_km,0.0009,0.07%,118
LBN,Lebanon,"5,459,982","5,662,923",525/sq_km,-0.0184,0.07%,119
NOR,Norway,"5,443,618","5,379,839",17/sq_km,0.0058,0.07%,120
LBR,Liberia,"5,328,972","5,087,584",48/sq_km,0.021,0.07%,121
PSE,Palestine,"5,277,884","5,019,401",844/sq_km,0.0227,0.07%,122
NZL,New Zealand,"5,195,348","5,061,133",19/sq_km,0.0108,0.07%,123
CRI,Costa Rica,"5,187,254","5,123,105",101/sq_km,0.0052,0.06%,124
IRL,Ireland,"5,031,055","4,946,119",71/sq_km,0.0073,0.06%,125
MRT,Mauritania,"4,765,050","4,498,604",5/sq_km,0.0263,0.06%,126
OMN,Oman,"4,591,599","4,543,399",15/sq_km,0.0123,0.06%,127
PAN,Panama,"4,422,191","4,294,396",58/sq_km,0.0132,0.06%,128
KWT,Kuwait,"4,278,764","4,360,444",240/sq_km,0.0044,0.05%,129
HRV,Croatia,"4,025,370","4,096,869",71/sq_km,-0.0073,0.05%,130
GEO,Georgia,"3,740,243","3,765,912",54/sq_km,-0.0036,0.05%,131
ERI,Eritrea,"3,698,572","3,555,868",31/sq_km,0.0176,0.05%,132
URY,Uruguay,"3,422,879","3,429,086",19/sq_km,-0.001,0.04%,133
MNG,Mongolia,"3,409,947","3,294,335",2/sq_km,0.0151,0.04%,134
MDA,Moldova,"3,376,976","3,084,847",97/sq_km,0.0691,0.04%,135
PRI,Puerto Rico,"3,253,929","3,271,564",367/sq_km,-0.0011,0.04%,136
ALB,Albania,"2,839,785","2,866,849",99/sq_km,-0.0043,0.04%,138
JAM,Jamaica,"2,826,616","2,820,436",257/sq_km,-0.0001,0.04%,139
ARM,Armenia,"2,779,116","2,805,608",93/sq_km,-0.0038,0.03%,140
LTU,Lithuania,"2,741,432","2,820,267",42/sq_km,-0.0131,0.03%,141
GMB,Gambia,"2,721,293","2,573,995",253/sq_km,0.025,0.03%,142
QAT,Qatar,"2,700,110","2,760,385",233/sq_km,0.0026,0.03%,143
BWA,Botswana,"2,640,778","2,546,402",5/sq_km,0.0162,0.03%,144
NAM,Namibia,"2,575,212","2,489,098",3/sq_km,0.0146,0.03%,145
GAB,Gabon,"2,399,982","2,292,573",9/sq_km,0.0204,0.03%,146
LSO,Lesotho,"2,311,151","2,254,100",76/sq_km,0.0107,0.03%,147
SVN,Slovenia,"2,119,844","2,117,641",105/sq_km,0.0002,0.03%,148
GNB,Guinea Bissau,"2,115,964","2,015,828",58/sq_km,0.0218,0.03%,149
MKD,North Macedonia,"2,091,317","2,111,072",81/sq_km,-0.0046,0.03%,150
LVA,Latvia,"1,845,832","1,897,052",29/sq_km,-0.0124,0.02%,151
GNQ,Equatorial Guinea,"1,684,038","1,596,049",60/sq_km,0.0247,0.02%,152
BHR,Bahrain,"1,475,276","1,477,469","1,924/sq_km",0.0061,0.02%,154
TLS,Timor Leste,"1,345,776","1,299,995",90/sq_km,0.0154,0.02%,155
EST,Estonia,"1,325,386","1,329,444",29/sq_km,-0.002,0.02%,156
MUS,Mauritius,"1,299,638","1,297,828",637/sq_km,0.0004,0.02%,157
CYP,Cyprus,"1,253,517","1,237,537",135/sq_km,0.0059,0.02%,158
DJI,Djibouti,"1,124,400","1,090,156",48/sq_km,0.0138,0.01%,160
RU,Reunion,"975,827","957,822",388/sq_km,0.0082,0.01%,161
FJI,Fiji,"931,288","920,422",51/sq_km,0.0056,0.01%,162
COM,Comoros,"840,240","806,166",449/sq_km,0.0184,0.01%,163
GUY,Guyana,"809,656","797,202",4/sq_km,0.0052,0.01%,164
BTN,Bhutan,"783,554","772,506",20/sq_km,0.0064,0.01%,165
SLB,Solomon Islands,"727,993","691,191",25/sq_km,0.0232,0.01%,166
MAC,Macau,"697,281","676,283","23,172/sq_km",0.0125,0.01%,167
LUX,Luxembourg,"649,290","630,399",250/sq_km,0.0129,0.01%,168
MNE,Montenegro,"626,913","629,048",45/sq_km,-0.0012,0.01%,169
SUR,Suriname,"619,054","607,065",4/sq_km,0.0082,0.01%,170
CPV,Cape Verde,"594,417","582,640",147/sq_km,0.0089,0.01%,171
ESH,Western Sahara,"578,607","556,048",2/sq_km,0.0184,0.01%,172
MLT,Malta,"533,624","515,358","1,688/sq_km",0.0124,0.01%,173
MDV,Maldives,"523,280","514,438","1,746/sq_km",0.0045,0.01%,174
BRN,Brunei,"449,847","441,725",78/sq_km,0.0081,0.01%,175
BHS,Bahamas,"410,660","406,471",29/sq_km,0.0051,0.01%,176
BLZ,Belize,"406,540","394,921",18/sq_km,0.0131,0.01%,177
ISL,Iceland,"373,491","366,669",4/sq_km,0.0069,0.00%,179
MTQ,Martinique,"367,422","370,391",326/sq_km,-0.0035,0.00%,180
VUT,Vanuatu,"328,515","311,685",27/sq_km,0.0238,0.00%,181
MYT,Mayotte,"328,299","305,587",872/sq_km,0.0319,0.00%,182
PYF,French Polynesia,"306,955","301,920",74/sq_km,0.0074,0.00%,183
NCL,New Caledonia,"290,626","286,403",16/sq_km,0.0075,0.00%,185
BRB,Barbados,"281,720","280,693",655/sq_km,0.0015,0.00%,186
WSM,Samoa,"223,143","214,929",78/sq_km,0.0165,0.00%,188
CUW,Curacao,"191,332","189,288",431/sq_km,0.0043,0.00%,189
LCA,Saint Lucia,"179,942","179,237",292/sq_km,0.0011,0.00%,190
GUM,Guam,"172,112","169,231",313/sq_km,0.0073,0.00%,191
KIR,Kiribati,"131,824","126,463",162/sq_km,0.0183,0.00%,192
GRD,Grenada,"125,523","123,663",365/sq_km,0.0066,0.00%,193
FSM,Micronesia,"114,333","112,106",163/sq_km,0.0091,0.00%,194
SYC,Seychelles,"107,118","105,530",237/sq_km,0.0061,0.00%,196
TON,Tonga,"107,112","105,254",143/sq_km,0.0079,0.00%,197
ABW,Aruba,"106,360","106,585",591/sq_km,-0.0009,0.00%,198
VIR,United States Virgin Islands,"99,296","100,442",287/sq_km,-0.0063,0.00%,200
AND,Andorra,"79,993","77,700",171/sq_km,0.01,0.00%,203
DMA,Dominica,"72,822","71,995",97/sq_km,0.0045,0.00%,204
CYM,Cayman Islands,"68,875","67,311",260/sq_km,0.0084,0.00%,205
BMU,Bermuda,"64,099","64,031","1,189/sq_km",0,0.00%,206
GRL,Greenland,"56,551","56,026",0/sq_km,0.004,0.00%,208
FRO,Faroe Islands,"53,090","52,415",38/sq_km,0.0038,0.00%,209
MNP,Northern Mariana Islands,"49,636","49,587",107/sq_km,0.0014,0.00%,210
ASM,American Samoa,"44,188","46,189",222/sq_km,-0.0169,0.00%,213
MAF,Sint Maarten,"44,175","43,621","1,299/sq_km",0.003,0.00%,214
MHL,Marshall Islands,"41,654","43,413",230/sq_km,-0.0114,0.00%,215
LIE,Liechtenstein,"39,327","38,756",246/sq_km,0.0074,0.00%,216
MCO,Monaco,"36,469","36,922","18,235/sq_km",-0.0059,0.00%,217
SMR,San Marino,"33,660","34,007",552/sq_km,-0.0025,0.00%,218
